rank,language,name,requests_per_second,description
41,Scala,"otavia",14740279,"otavia [otavia-overshoot] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1422]"
42,C++,"drogon",14655006,"drogon [drogon] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #688]"
43,Go,"fasthttp-prefork",14566665,"None [fasthttp-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #643]"
44,Java,"vertx",14340940,"vert.x [vertx] (vert.x; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #222]"
45,Java,"officefloor-sqlclient",13994309,"OfficeFloor-sqlclient [officefloor-sqlclient] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1172]"
46,Go,"atreugo-prefork",13950201,"atreugo [atreugo-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #646]"
47,Java,"jooby-netty",13795851,"jooby [jooby-netty] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #793]"
48,Java,"officefloor-async",13720956,"OfficeFloor-async [officefloor-rawsqlclient] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1060]"
49,Java,"officefloor-r2dbc",13517811,"officefloor [officefloor-r2dbc] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #855]"
50,Go,"fiber-prefork",13509592,"fiber [fiber-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #730]"
51,Java,"jooby-mvc",13471017,"jooby [jooby-mvc] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #791]"
52,C#,"aspcore-mono",13266460,"asp.net core [aspcore-mono] (.NET; kestrel on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #595]"
53,Java,"quarkus, vert.x",13080084,"Quarkus, Vert.x [quarkus-vertx] (vert.x; vert.x on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1430]"
54,Kotlin,"vertx-web-kotlin-dsljson",13010230,"vertx-web-kotlin-dsljson [vertx-web-kotlin-dsljson] (vert.x; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1463]"
55,Rust,"ntex",12706501,"ntex [ntex] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1056]"
56,Go,"gearbox",12690872,"Gearbox [gearbox-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1038]"
57,Rust,"axum",12392330,"Axum [axum] (Rust; hyper on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1109]"
58,Rust,"viz",12354890,"Viz [viz] (Rust; hyper on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1362]"
59,Java,"proteus",12331837,"proteus [proteus] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #894]"
60,Java,"netty",12242035,"netty [netty] (Netty; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #30]"
61,Rust,"ntex [db]",12193835,"ntex [db] [ntex-compio] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1057]"
62,vb,"aspcore-vb-mw",12135212,"asp.net core [aspcore-vb-mw] (.NET; kestrel on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #634]"
63,Go,"ronykit",12072588,"RonyKIT [ronykit-prefork] (None; None on Linux; None on none; Raw database connectivity, Platform class; Realistic approach) [Test #1337]"
64,C#,"appmpower [middleware]",11701671,"appMpower [Middleware] [appmpower] (.NET; kestrel on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1102]"
65,C++,"cpoll_cppsp",11607966,"cpoll-cppsp [cpoll_cppsp] (None; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #115]"
66,Java,"smart-socket",11585719,"None [smart-socket] (smartboot; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #934]"
67,C#,"asp.net core",11508512,"ASP.NET Core [ben] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1006]"
68,f#,"oxpecker",10935401,"Oxpecker [oxpecker] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1423]"
69,Nim,"jester",10556414,"jester [jester] (None; None on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #133]"
70,f#,"falco, donald",10291274,"Falco, Donald [falco] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1021]"
71,Java,"inverno",10274217,"inverno [inverno] (inverno; None on Linux; None on Linux; Micro ORM; Micro class; Realistic approach) [Test #1150]"
72,Go,"goravel fiber",9769830,"Goravel Fiber [goravel-fiber] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1387]"
73,f#,"giraffe",9548261,"giraffe [giraffe] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #736]"
74,C,"h2o",9496470,"libh2o [h2o] (None; h2o on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #468]"
75,f#,"zebra-simple",9478548,"zebra [zebra-simple] (.NET; kestrel on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #999]"
