rank,language,name,requests_per_second,description
93,typescript,"elysia [smol] [postgresql]",607083,"Elysia [smol] [PostgreSQL] [elysia-smol-postgres] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1381]"
94,Kotlin,"http4k-netty",606562,"http4k [http4k-netty] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #772]"
95,Kotlin,"http4k-ratpack",594070,"http4k [http4k-ratpack] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1043]"
96,Java,"helidon",593814,"helidon [helidon] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #764]"
97,C#,"zysocket-v",590392,"zysocket-v [zysocket-v] (.NET; zysocket-v on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1000]"
98,Ur,"urweb",587901,"urweb [urweb] (Ur/Web; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #236]"
99,Kotlin,"hexagon nima postgresql",580784,"Hexagon Nima PostgreSQL [hexagon-helidon] (helidon; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1267]"
100,PHP,"mixphp-swoole-mysql",575144,"mixphp-swoole-mysql [mixphp-swoole-mysql] (swoole; None on Linux; MySQL on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1165]"
101,PHP,"mixphp-workerman-mysql",573621,"mixphp-workerman-mysql [mixphp-workerman-mysql] (workerman; None on Linux; MySQL on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1166]"
102,Kotlin,"hexagon",571591,"Hexagon [hexagon] (Servlet; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #469]"
103,C++,"ffead-cpp-postgresql-raw-profiled",570518,"ffead-cpp-postgresql-raw-profiled [ffead-cpp-postgresql-raw-profiled] (None; ffead-cpp on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1033]"
104,Go,"goframe",564546,"goframe [goframe] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #751]"
105,C++,"ffead-cpp-v-picov",562218,"ffead-cpp-v-picov [ffead-cpp-v-picov] (None; picov on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1035]"
106,C++,"ffead-cpp-postgresql-raw-clibpqb-profile",561797,"ffead-cpp-postgresql-raw-clibpqb-profiled [ffead-cpp-postgresql-raw-async-qw-profiled] (None; ffead-cpp on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1032]"
107,JavaScript,"ultimate-express-postgres",559376,"ultimate-express-postgres [ultimate-express-postgres] (nodejs; µws on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1459]"
108,Java,"jooby-jetty",558004,"jooby [jooby-jetty] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #792]"
109,JavaScript,"hyperexpress-mysql",548229,"hyperexpress-mysql [hyperexpress-mysql] (nodejs; µws on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1278]"
110,Java,"pippo-jetty-postgres",541368,"pippo-jetty-postgres [pippo-postgres] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1319]"
111,Java,"jooby-mvc",539533,"jooby [jooby-mvc] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #791]"
112,C#,"asp.net core [platform, my]",535689,"ASP.NET Core [Platform, My] [aspnetcore-mysql] (.NET; kestrel on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1106]"
113,Java,"jooby-netty",535181,"jooby [jooby-netty] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #793]"
114,Kotlin,"kooby",534577,"kooby: jooby+kotlin [kooby] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #811]"
115,Java,"microhttp",524025,"microhttp [microhttp-mysql] (microhttp; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1294]"
116,Go,"hertz",523241,"hertz [hertz] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1262]"
117,Kotlin,"hexagon netty epoll postgresql",520433,"Hexagon Netty Epoll PostgreSQL [hexagon-nettyepoll-pgclient] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1138]"
118,Java,"officefloor-thread_affinity",519885,"OfficeFloor-thread_affinity [officefloor-thread_affinity] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1173]"
119,Java,"act-eclipselink-pgsql",509824,"actframework [act-eclipselink-pgsql] (Undertow; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #492]"
120,PHP,"one",508888,"one [one] (swoole; None on Linux; MySQL on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1062]"
