rank,language,name,requests_per_second,description
37,PHP,"swoole-sync-postgres",735139,"Swoole-sync-postgres [swoole-postgres] (swoole; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1451]"
38,PHP,"webman-pgsql",733134,"webman-pgsql [webman-pgsql] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1467]"
39,Go,"go-pgx-prefork-quicktemplate",715433,"go-std [go-pgx-prefork-quicktemplate] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #650]"
40,Java,"helidon 4",696144,"Helidon 4 [helidon-nima] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1261]"
41,C++,"cutelyst-thread-apg",695902,"cutelyst [cutelyst-thread-apg] (cutelystwsgi; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #687]"
42,C#,"aspnetcore-aot",691655,"asp.net core [aspnetcore-aot] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #611]"
43,PHP,"ubiquity-ngx-raw",677832,"ubiquity-ngx-raw [ubiquity-ngx-raw] (ngx_php; nginx on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1083]"
44,f#,"oxpecker",662119,"Oxpecker [oxpecker] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1423]"
45,Java,"micronaut",660238,"micronaut [micronaut] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #832]"
46,vb,"aspcore-vb-mw-ado-pg",658480,"asp.net core [aspcore-vb-mw-ado-pg] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #636]"
47,Perl,"feersum",651181,"feersum [feersum] (None; feersum on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1384]"
48,PHP,"ubiquity-workerman-raw",643975,"ubiquity-workerman-raw [ubiquity-workerman-raw] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1206]"
49,Ur,"urweb",637817,"urweb [urweb] (Ur/Web; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #236]"
50,Java,"proteus",628695,"proteus [proteus] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #894]"
51,C++,"userver",626406,"userver [userver] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1356]"
52,Java,"wizzardo-http",620058,"wizzardo-http [wizzardo-http] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #990]"
53,C#,"asp.net core [minimal apis, pg, dapper]",609966,"ASP.NET Core [Minimal APIs, Pg, Dapper] [aspnetcore-minimal] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1369]"
54,PHP,"mixphp-workerman-pgsql",602492,"mixphp-workerman-pgsql [mixphp-workerman-pgsql] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1167]"
55,PHP,"kumbiaphp-workerman",589998,"kumbiaphp [kumbiaphp-workerman] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #818]"
56,Scala,"otavia",588031,"otavia [otavia] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1421]"
57,Scala,"otavia",579058,"otavia [otavia-overshoot] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1422]"
58,C++,"ffead-cpp [v-prof]",577905,"ffead-cpp [v-prof] [ffead-cpp-v-picov-raw-profiled] (None; picov on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1130]"
59,C++,"ffead-cpp-v-picov",561488,"ffead-cpp-v-picov [ffead-cpp-v-picov] (None; picov on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1035]"
60,Java,"micronaut jdbc",560026,"Micronaut JDBC [micronaut-jdbc] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1299]"
61,f#,"zebra",551924,"zebra [zebra] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #998]"
62,Go,"goravel fiber",549130,"Goravel Fiber [goravel-fiber] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1387]"
63,f#,"giraffe",536133,"giraffe [giraffe] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #736]"
