rank,language,name,requests_per_second,description
36,typescript,"elysia [postgresql]",42772,"Elysia [PostgreSQL] [elysia-compiled] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1237]"
37,typescript,"elysia [smol] [postgresql]",42760,"Elysia [smol] [PostgreSQL] [elysia-smol-postgres] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1381]"
38,Scala,"vertx-web-scala",42714,"vertx-web [vertx-web-scala] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #978]"
39,typescript,"elysia [postgresql]",42650,"Elysia [PostgreSQL] [elysia-postgres] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1380]"
40,Java,"micronaut vertx pg client graalvm",40870,"Micronaut Vertx PG Client GraalVM [micronaut-graalvm] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1298]"
41,C++,"drogon-core",39418,"drogon [drogon-core] (None; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #689]"
42,typescript,"ditsmod-bun v3.0 [postgres]",38056,"ditsmod-bun v3.0 [postgres] [ditsmod-postgres-bun] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1377]"
43,C++,"lithium-postgres",37229,"lithium [lithium-postgres] (None; None on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #825]"
44,PHP,"php-ngx-pgsql",36801,"php-ngx [php-ngx-pgsql] (ngx_php; nginx on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #872]"
45,PHP,"ubiquity-ngx-raw",36759,"ubiquity-ngx-raw [ubiquity-ngx-raw] (ngx_php; nginx on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1083]"
46,PHP,"ubiquity-workerman-raw",36723,"ubiquity-workerman-raw [ubiquity-workerman-raw] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1206]"
47,Java,"hserver",36646,"hserver [hserver] (hserver; hserver on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1140]"
48,C++,"lithium-postgres-beta",36598,"lithium [lithium-postgres-beta] (None; None on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #826]"
49,PHP,"workerman-php8-jit",36261,"workerman-php8-jit [workerman-pgsql-without-jit] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1093]"
50,PHP,"webman-pgsql",36095,"webman-pgsql [webman-pgsql] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1467]"
51,PHP,"kumbiaphp-workerman",36061,"kumbiaphp [kumbiaphp-workerman] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #818]"
52,Java,"jooby-jetty",35936,"jooby [jooby-jetty] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #792]"
53,PHP,"ubiquity-swoole",35832,"ubiquity [ubiquity-swoole] (swoole; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #965]"
54,PHP,"ubiquity-workerman",35039,"ubiquity [ubiquity-workerman] (workerman; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #968]"
55,PHP,"ubiquity-ngx",34555,"ubiquity-ngx [ubiquity-ngx] (ngx_php; nginx on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1082]"
56,PHP,"slim-workerman-pgsql",33994,"slim-workerman-pgsql [slim-workerman-pgsql] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1344]"
57,pascal,"mormot [orm]",33334,"mormot [orm] [mormot] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1303]"
58,Rust,"axum [postgresql - deadpool]",32685,"Axum [Postgresql - deadpool] [axum-pg-pool] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1113]"
59,Rust,"xitca-web [sync]",32323,"xitca-web [sync] [xitca-web-sync] (None; xitca-server on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1473]"
60,C++,"cutelyst-thr-apg",31857,"cutelyst-thr-apg [cutelyst-thread-apg-batch] (cutelystwsgi; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1012]"
61,Java,"micronaut jdbc",31724,"Micronaut JDBC [micronaut-jdbc] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1299]"
62,PHP,"swoole-sync-postgres",31642,"Swoole-sync-postgres [swoole-postgres] (swoole; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1451]"
63,Java,"pippo-tomcat-postgres",31503,"pippo-tomcat-postgres [pippo-tomcat-postgres] (tomcat; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1323]"
