rank,language,name,requests_per_second,description
40,Rust,"xitca-web [orm]",2692567,"xitca-web [orm] [xitca-web-orm] (None; xitca-server on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1472]"
41,Java,"jooby-mvc",2687394,"jooby [jooby-mvc] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #791]"
42,Go,"silverlining",2681872,"silverlining [silverlining-prefork] (None; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1194]"
43,Java,"microhttp",2670525,"microhttp [microhttp] (microhttp; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #1162]"
44,pascal,"mormot [orm]",2666665,"mormot [orm] [mormot] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1303]"
45,Scala,"blaze",2661073,"blaze [blaze] (blaze; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #496]"
46,Rust,"ntex [db]",2653891,"ntex [db] [ntex-compio] (None; ntex on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1057]"
47,Kotlin,"kooby",2647071,"kooby: jooby+kotlin [kooby] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #811]"
48,Java,"smart-servlet",2634539,"smart-servlet [smart-socket-smart-servlet] (smartboot; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1076]"
49,Scala,"scalene",2634406,"scalene [scalene] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #925]"
50,Java,"vertx-web",2632083,"vertx-web [vertx-web] (vert.x; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #425]"
51,Java,"activej",2627329,"activej [activej] (activej; None on Linux; None on none; none ORM; Micro class; Realistic approach) [Test #1094]"
52,PHP,"webman",2616793,"webman [webman] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1092]"
53,Nim,"jester",2604675,"jester [jester] (None; None on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #133]"
54,Java,"proteus",2601174,"proteus [proteus] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #894]"
55,Lua,"openresty",2599008,"openresty [openresty] (OpenResty; nginx on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #50]"
56,PHP,"mark-php8-jit",2589951,"mark-php8-jit [mark] (workerman; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1160]"
57,PHP,"workerman",2588238,"workerman [workerman-without-jit] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1471]"
58,Java,"inverno",2579842,"inverno [inverno] (inverno; None on Linux; None on Linux; Micro ORM; Micro class; Realistic approach) [Test #1150]"
59,PHP,"simps",2559387,"simps [simps] (swoole; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #932]"
60,C#,"aspnetcore-aot",2556896,"asp.net core [aspnetcore-aot] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #611]"
61,Java,"officefloor-r2dbc",2550592,"officefloor [officefloor-r2dbc] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #855]"
62,C#,"aspnetcore",2546481,"asp.net core [aspnetcore] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #598]"
63,Go,"fasthttp-prefork",2545983,"None [fasthttp-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #643]"
64,Java,"officefloor-sqlclient",2523738,"OfficeFloor-sqlclient [officefloor-sqlclient] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1172]"
65,Clojure,"reitit",2523363,"reitit [reitit] (Undertow; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #910]"
66,Java,"officefloor-async",2521419,"OfficeFloor-async [officefloor-rawsqlclient] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1060]"
67,Go,"atreugo-prefork",2521175,"atreugo [atreugo-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #646]"
68,Kotlin,"vertx-web-kotlinx",2509823,"vertx-web-kotlinx [vertx-web-kotlinx] (vert.x; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1464]"
69,Java,"quarkus, postgresql",2505229,"Quarkus, PostgreSQL [quarkus-reactive-routes-pgclient] (vert.x; vert.x on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1429]"
70,Go,"ronykit",2503885,"RonyKIT [ronykit-prefork] (None; None on Linux; None on none; Raw database connectivity, Platform class; Realistic approach) [Test #1337]"
71,Go,"fiber-prefork",2479768,"fiber [fiber-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #730]"
72,C++,"drogon",2474349,"drogon [drogon] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #688]"
73,PHP,"swoole",2465399,"swoole [swoole] (swoole; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #949]"
74,Java,"quarkus",2457422,"quarkus [quarkus] (resteasy reactive; vert.x on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #897]"
75,JavaScript,"mesh",2449534,"Mesh [mesh] (nodejs; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1413]"
76,Go,"gearbox",2441834,"Gearbox [gearbox-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1038]"
77,Java,"quarkus resteasy reactive + hibernate",2439679,"Quarkus RESTEasy Reactive + Hibernate [quarkus-hibernate-reactive] (resteasy reactive; vert.x on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1073]"
78,C,"lwan",2423414,"lwan [lwan] (Lwan; lwan on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #276]"
79,Go,"goravel fiber",2361155,"Goravel Fiber [goravel-fiber] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1387]"
80,Python,"fastwsgi",2349504,"FastWSGI [fastwsgi] (wsgi; fastwsgi on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1252]"
81,C#,"beetlex-core",2316553,"beetlex [beetlex-core] (.NET; beetlex on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #652]"
82,Java,"solon",2305901,"solon [solon] (solon; smarthttp on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1351]"
83,JavaScript,"hyperexpress",2254278,"hyperexpress [hyperexpress] (nodejs; µws on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1277]"
84,Java,"revenj-jvm",2245219,"Revenj.JVM [revenj-jvm] (Servlet; Resin on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #430]"
85,C++,"oatpp-no-mp",2245087,"oatpp [oatpp-no-mp] (None; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #852]"
86,Java,"helidon 4",2233345,"Helidon 4 [helidon-nima] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1261]"
87,Perl,"feersum",2232452,"feersum [feersum-mysql] (None; feersum on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1385]"
88,Perl,"feersum",2230619,"feersum [feersum] (None; feersum on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1384]"
89,Scala,"zio-http",2222013,"zio-http [zio-http] (Netty; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1220]"
90,Java,"servlet",2203565,"None [servlet] (Servlet; Resin on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #18]"
91,Java,"jooby-jetty",2193839,"jooby [jooby-jetty] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #792]"
92,C,"facil.io",2127477,"facil.io [facil.io] (None; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #709]"
