rank,language,name,requests_per_second,description
36,JavaScript,"fastify-postgres",76157,"fastify [fastify-postgres] (nodejs; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #724]"
37,Java,"officefloor-r2dbc",74986,"officefloor [officefloor-r2dbc] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #855]"
38,typescript,"ditsmod [postgres]",74481,"ditsmod [postgres] [ditsmod-postgres] (nodejs; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1232]"
39,JavaScript,"hono",72501,"Hono [hono-postgres] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1391]"
40,typescript,"elysia [postgresql]",68857,"Elysia [PostgreSQL] [elysia-compiled] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1237]"
41,C++,"ffead-cpp-postgresql-raw-async-profiled",68790,"ffead-cpp-postgresql-raw-async-profiled [ffead-cpp-postgresql-raw-async-qw-pool-profiled-m] (None; ffead-cpp on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1031]"
42,typescript,"elysia [postgresql]",68695,"Elysia [PostgreSQL] [elysia-postgres] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1380]"
43,C++,"ffead-cpp-postgresql-raw-async",68446,"ffead-cpp-postgresql-raw-async [ffead-cpp-postgresql-raw-async-pool-profiled-m] (None; ffead-cpp on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1029]"
44,typescript,"elysia [smol] [postgresql]",68401,"Elysia [smol] [PostgreSQL] [elysia-smol-postgres] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1381]"
45,Scala,"otavia",65835,"otavia [otavia-overshoot] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1422]"
46,Scala,"otavia",65791,"otavia [otavia] (otavia; None on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1421]"
47,C++,"drogon-core",65211,"drogon [drogon-core] (None; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #689]"
48,C++,"drogon",63138,"drogon [drogon] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #688]"
49,JavaScript,"express[postgres.js]",62036,"express[postgres.js] [express-postgresjs] (nodejs; None on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1383]"
50,Java,"officefloor-undertow",60679,"OfficeFloor-undertow [officefloor-undertow] (officefloor; Undertow on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1061]"
51,Java,"jooby-mvc",60515,"jooby [jooby-mvc] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #791]"
52,pascal,"mormot [orm]",60069,"mormot [orm] [mormot] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1303]"
53,typescript,"ditsmod-bun v3.0 [postgres]",59942,"ditsmod-bun v3.0 [postgres] [ditsmod-postgres-bun] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1377]"
54,Java,"jooby-netty",59811,"jooby [jooby-netty] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #793]"
55,f#,"oxpecker",59686,"Oxpecker [oxpecker] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1423]"
56,Kotlin,"kooby",59640,"kooby: jooby+kotlin [kooby] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #811]"
57,Kotlin,"hexagon nima postgresql",59536,"Hexagon Nima PostgreSQL [hexagon-helidon] (helidon; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1267]"
58,Go,"gearbox",59510,"Gearbox [gearbox-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1038]"
59,C#,"asp.net core [minimal apis, pg, dapper]",58972,"ASP.NET Core [Minimal APIs, Pg, Dapper] [aspnetcore-minimal] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1369]"
60,vb,"aspcore-vb-mw-ado-pg",58893,"asp.net core [aspcore-vb-mw-ado-pg] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #636]"
61,Java,"officefloor-thread_affinity",58795,"OfficeFloor-thread_affinity [officefloor-thread_affinity] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1173]"
62,Go,"fasthttp-prefork",58670,"None [fasthttp-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #643]"
